# Rime user dictionary
#@/db_name	withdewhua.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	31290
#@/user_id	withdewhua-win
a 	啊	c=189 d=8.54227 t=31290
you ji ge shu xing 	有幾個屬性	c=1 d=0.299692 t=31290
you ji hui 	有機會	c=2 d=0.0443785 t=31290
you ji hui gan ma bu qu 	有機會幹嘛不去	c=1 d=2.3348e-05 t=31290
you ji lv 	有機率	c=2 d=0.919457 t=31290
you ji men 	有幾門	c=1 d=0.32628 t=31290
you jia 	又加	c=1 d=0.00136719 t=31290
you jian 	右鍵	c=1 d=0.0685632 t=31290
you jian 	郵件	c=20 d=0.924242 t=31290
you jian la 	郵件啦	c=1 d=1 t=29582
you jian li yi 	郵件禮儀	c=1 d=0.000534061 t=31290
you jian lian xi 	郵件聯繫	c=1 d=0.752014 t=31290
you jie shao 	有介紹	c=1 d=0.546074 t=31290
you jing xi 	有驚喜	c=1 d=0.0692522 t=31290
you ju 	有據	c=1 d=0.0699482 t=31290
you ju zhen 	酉矩陣	c=3 d=0.082005 t=31290
you kai le 	又開了	c=1 d=0.12938 t=31290
you kai shi 	又開始	c=1 d=1 t=29780
you ke yi 	又可以	c=3 d=0.0149208 t=31290
you kong 	有空	c=1 d=0.209128 t=31290
you lai 	又來	c=1 d=0.000111666 t=31290
you lai 	由來	c=1 d=1.12554e-09 t=31290
you le 	有了	c=5 d=0.395926 t=31290
you le ba 	有了吧	c=1 d=0.752014 t=31290
you le zhe pian wen zhang 	有了這篇文章	c=1 d=4.87332e-15 t=31290
you li 	有理	c=1 d=0.0695994 t=31290
you li you 	有理由	c=1 d=0.737123 t=31290
you li yu 	有利於	c=1 d=0.346456 t=31290
you lian 	友鏈	c=13 d=4.59035 t=31290
you lian qiang 	友鏈牆	c=2 d=0.66034 t=31290
you liang ge 	有兩個	c=1 d=4.53999e-05 t=31290
you liang lu 	有兩路	c=1 d=0.219808 t=31290
you liang san tian 	有兩三天	c=1 d=0.00125578 t=31290
you liu lan qi 	由瀏覽器	c=1 d=0.366045 t=31290
you ma 	有嗎	c=1 d=0.267135 t=31290
you mai 	又買	c=1 d=0.970446 t=31290
you mai le jia 	又買了家	c=1 d=0.873716 t=31290
you mei 	又沒	c=0 d=0.1 t=29622
you mei shi ming 	又沒實名	c=1 d=1 t=29623
you mei you 	有沒有	c=15 d=1.57119 t=31290
you mei you dao zhang 	有沒有到賬	c=1 d=0.341298 t=31290
you mei you ni men 	有沒有你們	c=1 d=0.0280154 t=31290
you mei you shen me 	有沒有什麼	c=1 d=0.194952 t=31290
you mei zi 	有妹子	c=1 d=0.0459593 t=31290
you men kan 	有門檻	c=1 d=1.54176e-05 t=31290
you ming 	有名	c=1 d=0.144424 t=31290
you na ge ji qi ren 	有那個機器人	c=1 d=0.790571 t=31290
you na jia 	有哪家	c=1 d=0.0800583 t=31290
you na me 	有那麼	c=1 d=0.467666 t=31290
you na xie 	有哪些	c=3 d=0.701482 t=31290
you nei rong ma 	有內容嗎	c=1 d=0.0987661 t=31290
you neng kan 	有能看	c=1 d=0.615697 t=31290
you neng li 	有能力	c=1 d=0.33454 t=31290
you ni 	有你	c=0 d=0.0529935 t=31290
you ni wen le 	有你問了	c=1 d=0.532592 t=31290
you qi shi 	尤其是	c=1 d=0.585669 t=31290
you qian 	有錢	c=0 d=0.0650509 t=31290
you qu 	又去	c=1 d=0.183599 t=31290
you que dian 	優缺點	c=8 d=0.474768 t=31290
you que dian fen xi 	優缺點分析	c=1 d=1.0083e-09 t=31290
you ren 	有人	c=2 d=0.0979709 t=31290
you ren fan kui 	有人反饋	c=1 d=0.00252883 t=31290
you ren jian wo 	有人見我	c=1 d=4.68225e-15 t=31290
you ren shi de ren 	有認識的人	c=1 d=0.529935 t=31290
you ren shou ma 	有人收嗎	c=1 d=0.603506 t=31290
you ren zai 	有人在	c=1 d=1 t=28737
you san wei 	有三位	c=1 d=0.245367 t=31290
you san zhong 	有三種	c=0 d=0.000423234 t=31290
you san zhong fang shi 	有三種方式	c=1 d=0.00425356 t=31290
you sha 	有啥	c=0 d=0.0856472 t=31290
you sha bu hao shi 	有啥不好使	c=1 d=0.690734 t=31290
you sha guan xi 	有啥關係	c=1 d=0.612626 t=31290
you sha yong 	有啥用	c=2 d=0.0934807 t=31290
you shang jiao 	右上角	c=3 d=0.598647 t=31290
you shen me 	有什麼	c=9 d=0.90605 t=31290
you shen me bao zi 	有什麼包子	c=1 d=0.136695 t=31290
you shen me bu yi yang 	有什麼不一樣	c=1 d=0.00453922 t=31290
you shen me guan xi 	有什麼關係	c=2 d=0.451581 t=31290
you shen me ti shi 	有什麼提示	c=1 d=0.160414 t=31290
you shen me wen ti 	有什麼問題	c=2 d=1.08942 t=31290
you shen me yong 	有什麼用	c=5 d=0.98856 t=31290
you shi 	優勢	c=1 d=0.0306538 t=31290
you shi 	又是	c=7 d=0.845335 t=31290
you shi 	有時	c=1 d=1.69328e-49 t=31290
you shi 	由式	c=1 d=0.0263839 t=31290
you shi hou 	有時候	c=2 d=0.923116 t=31290
you shi jian 	有時間	c=1 d=0.0593683 t=31290
you shi jian kan 	有時間看	c=1 d=0.582748 t=31290
you shi jian ke yi chu qu 	有時間可以出去	c=1 d=0.382893 t=31290
you shi ni kai de 	又是你開的	c=1 d=0.00307331 t=31290
you shi yi tiao 	又是一條	c=1 d=0.88692 t=31290
you shu le 	又輸了	c=1 d=0.000163287 t=31290
you shua le 	又刷了	c=1 d=0.0963276 t=31290
you shuo 	又說	c=0 d=8.08767e-05 t=31290
you shuo ming 	有說明	c=1 d=0.000160856 t=31290
you suo bu tong 	有所不同	c=0 d=0.00152222 t=31290
you te se 	有特色	c=0 d=0.000831246 t=31290
you ti gong 	有提供	c=2 d=0.269995 t=31290
you ti shi de 	有提示的	c=1 d=0.000151489 t=31290
you ti zi 	有梯子	c=1 d=0.687289 t=31290
you tou 	由頭	c=1 d=2.60628e-05 t=31290
you tou ming dai li 	有透明代理	c=1 d=0.00591656 t=31290
you tu xing jie mian 	有圖形界面	c=1 d=0.927743 t=31290
you tube 	YouTube	c=1 d=0.718924 t=31290
you wang 	有望	c=1 d=0.0197421 t=31290
you wei 	尤爲	c=1 d=0.00167826 t=31290
you wei zhong yao 	尤爲重要	c=1 d=4.50799e-10 t=31290
you wen ti 	有問題	c=7 d=1.3806 t=31290
you wen ti ni ke yi 	有問題你可以	c=1 d=0.000201444 t=31290
you wu 	有誤	c=2 d=0.358796 t=31290
you wu fa 	又無法	c=1 d=0.0968105 t=31290
you xi 	遊戲	c=5 d=0.848265 t=31290
you xi jie dian 	遊戲節點	c=1 d=8.74013e-05 t=31290
you xi mo shi 	遊戲模式	c=1 d=0.199888 t=31290
you xi ren sheng 	遊戲人生	c=1 d=0.767206 t=31290
you xi wan jia 	遊戲玩家	c=1 d=0.0298969 t=31290
you xi xiao wang zi 	遊戲小王子	c=1 d=0.00168667 t=31290
you xia jiao 	右下角	c=1 d=3.1696e-13 t=31290
you xian 	優先	c=1 d=0.00810722 t=31290
you xian 	有限	c=2 d=0.869358 t=31290
you xian fan kui ji shu 	有限反饋技術	c=4 d=0.496585 t=31290
you xian gong si 	有限公司	c=2 d=0.625002 t=31290
you xian ji 	優先級	c=2 d=0.249075 t=31290
you xian su 	有限速	c=1 d=0.324652 t=31290
you xiang 	郵箱	c=11 d=1.08453 t=31290
you xiang di zhi 	郵箱地址	c=1 d=0.0824965 t=31290
you xiang zhi you yu ma 	有香汁魷魚嗎	c=1 d=0.138069 t=31290
you xiao 	有效	c=6 d=0.220972 t=31290
you xiao de 	有效地	c=1 d=0.0268474 t=31290
you xiao de 	有效的	c=1 d=1.04963e-11 t=31290
you xiao de jiang di 	有效地降低	c=1 d=0.26982 t=31290
you xiao gao du 	有效高度	c=1 d=0.130029 t=31290
you xiao huo ban 	有小夥伴	c=1 d=0.588605 t=31290
you xiao ti gao le 	有效提高了	c=1 d=9.54503e-12 t=31290
you xiao xin hao 	有效信號	c=1 d=3.41414e-05 t=31290
you xie 	有些	c=8 d=1.38503 t=31290
you xie cai le 	又歇菜了	c=1 d=0.000224867 t=31290
you xie jie dian 	有些節點	c=1 d=0.00222055 t=31290
you xie ren 	有些人	c=3 d=0.957933 t=31290
you xie xiao zhong dian 	有些小衆點	c=1 d=0.45612 t=31290
you xing jia bi 	有性價比	c=1 d=0.0207543 t=31290
you xing qu 	有興趣	c=1 d=0.516851 t=31290
you xiu 	優秀	c=0 d=6.90969e-06 t=31290
you xu yao de 	有需要的	c=1 d=0.346456 t=31290
you ya 	有呀	c=1 d=0.00279479 t=31290
you yao 	又要	c=1 d=0.104874 t=31290
you yao hui jia 	又要回家	c=1 d=0.000973123 t=31290
you yao qiu 	有要求	c=3 d=0.090805 t=31290
you yi 	優異	c=1 d=0.694197 t=31290
you yi 	又一	c=0 d=0.116357 t=31290
you yi 	有一	c=0 d=0.0250331 t=31290
you yi 	有意	c=1 d=0.251579 t=31290
you yi ban 	有一版	c=1 d=8.14925e-05 t=31290
you yi dian 	有一點	c=1 d=5.99658e-14 t=31290
you yi ding 	有一定	c=0 d=0.00357931 t=31290
you yi ding de 	有一定的	c=1 d=0.0359725 t=31290
you yi ge 	又一個	c=1 d=0.40657 t=31290
you yi ge 	有一個	c=1 d=0.251579 t=31290
you yi shang fen xi 	由以上分析	c=1 d=0.0143357 t=31290
you yi si 	有意思	c=2 d=0.0948935 t=31290
you yi tai 	有一臺	c=1 d=0.000461975 t=31290
you yi tian 	有一天	c=1 d=0.0699482 t=31290
you yi tiao 	有一條	c=1 d=0.0010333 t=31290
you yi tui 	有一腿	c=1 d=0.0193512 t=31290
you yi xia 	有以下	c=1 d=4.18368e-14 t=31290
you yi zhong bang 	又一重磅	c=1 d=0.891366 t=31290
you yin wei 	又因爲	c=1 d=0.000997758 t=31290
you ying xiang 	有影響	c=0 d=0.0158817 t=31290
you ying xiang ma 	有影響嗎	c=1 d=0.159614 t=31290
you yong 	有用	c=1 d=1.24519e-08 t=31290
you yong 	游泳	c=1 d=0.00177315 t=31290
you yong le 	有用了	c=1 d=0.00625109 t=31290
you yong ma 	有用嗎	c=1 d=0.00145901 t=31290
you yong shu ju 	有用數據	c=1 d=9.05454e-09 t=31290
you yong xin hao 	有用信號	c=2 d=5.83139e-05 t=31290
you you ren 	又有人	c=1 d=0.0098528 t=31290
you yu 	優於	c=5 d=0.0153437 t=31290
you yu 	由於	c=34 d=0.891366 t=31290
you yu 	魷魚	c=0 d=0.000763509 t=31290
you yu xiang huan 	由於想換	c=1 d=0.109154 t=31290
you yue xing 	優越性	c=0 d=9.23588e-08 t=31290
you zhao pian 	有照片	c=1 d=0.000930303 t=31290
you zhe 	有着	c=15 d=0.618506 t=31290
you zhe ge 	有這個	c=1 d=0.000825105 t=31290
you zhe ge wen ti 	有這個問題	c=1 d=0.349938 t=31290
you zhe li gong ke bei jing 	有着理工科背景	c=1 d=0.0357931 t=31290
you zhe nong hou de xing qu 	有着濃厚的興趣	c=1 d=0.0437178 t=31290
you zhe yang de 	有這樣的	c=1 d=0.0490458 t=31290
you zhe zhi fang gan 	有着脂肪肝	c=1 d=0.219808 t=31290
you zhe zi ji yi ding de fang fa 	有着自己一定的方法	c=1 d=0.0365162 t=31290
you zhi ding 	又指定	c=1 d=0.0898153 t=31290
you zi ding yi 	有自定義	c=1 d=0.00951391 t=31290
you zuo bu liao sha 	又做不了啥	c=1 d=0.121846 t=31290
ytb 	YouTube	c=13 d=0.951229 t=31290
yu 	域	c=0 d=0.0323033 t=31290
yu 	宇	c=0 d=0.000748391 t=31290
yu 	於	c=45 d=1.58549 t=31290
yu 	欲	c=0 d=0.0514481 t=31290
yu 	與	c=38 d=1.89664 t=31290
yu 	語	c=1 d=0.99005 t=31290
yu 	雨	c=0 d=0.0218712 t=31290
yu 	預	c=2 d=0.423242 t=31290
yu bian ma 	預編碼	c=172 d=3.12463 t=31290
yu bian ma cao zuo 	預編碼操作	c=3 d=0.0509857 t=31290
yu bian ma chu li 	預編碼處理	c=1 d=0.000158461 t=31290
yu bian ma fang an 	預編碼方案	c=17 d=1.21541 t=31290
yu bian ma fang fa 	預編碼方法	c=1 d=8.12959e-07 t=31290
yu bian ma fang shi 	預編碼方式	c=1 d=1.62136e-09 t=31290
yu bian ma ji 	預編碼及	c=1 d=0.35196 t=31290
yu bian ma ji shu 	預編碼技術	c=18 d=1.8045 t=31290
yu bian ma ju ben de 	預編碼劇本的	c=1 d=2.38894e-10 t=31290
yu bian ma ju zhen 	預編碼矩陣	c=26 d=0.85468 t=31290
yu bian ma ju zhen de 	預編碼矩陣的	c=2 d=4.8028e-10 t=31290
yu bian ma ju zhen gen ju 	預編碼矩陣根據	c=1 d=1.48565e-10 t=31290
yu bian ma ju zhen he 	預編碼矩陣和	c=1 d=0.384812 t=31290
yu bian ma ju zhen huo de guo cheng 	預編碼矩陣獲得過程	c=1 d=0.000120363 t=31290
yu bian ma kuang tu 	預編碼框圖	c=2 d=0.289387 t=31290
yu bian ma shu ju 	預編碼數據	c=1 d=0.000116223 t=31290
yu bian ma suan fa 	預編碼算法	c=1 d=0.000253537 t=31290
yu bian ma xiang liang 	預編碼向量	c=2 d=1.46898e-07 t=31290
yu bian ma xing neng 	預編碼性能	c=3 d=0.0150709 t=31290
yu bian ma xing neng bi jiao 	預編碼性能比較	c=1 d=0.000871757 t=31290
yu bian ma yan jiu 	預編碼研究	c=1 d=2.98502e-13 t=31290
yu chu li 	預處理	c=3 d=0.0244322 t=31290
yu dao 	遇到	c=10 d=0.559943 t=31290
yu dao guo 	遇到過	c=2 d=0.315347 t=31290
yu dao le 	遇到了	c=3 d=0.0128598 t=31290
yu dao wen ti 	遇到問題	c=3 d=0.527054 t=31290
yu ding 	預定	c=2 d=0.265976 t=31290
yu ding 	預訂	c=1 d=0.131994 t=31290
yu e 	餘額	c=1 d=0.00018413 t=31290
yu fa 	語法	c=6 d=0.554412 t=31290
yu fa cuo wu 	語法錯誤	c=1 d=1 t=29319
yu fou 	與否	c=1 d=4.72769e-11 t=31290
yu huo qu 	欲獲取	c=1 d=0.165299 t=31290
yu ji qing 	與激情	c=1 d=0.158817 t=31290
yu jia zai 	預加載	c=4 d=0.176608 t=31290
yu ju 	語句	c=5 d=1.04001 t=31290
yu jun heng 	預均衡	c=1 d=0.00171216 t=31290
yu ke hu duan 	與客戶端	c=1 d=0.0127784 t=31290
yu lan 	預覽	c=1 d=0.353455 t=31290
yu le 	娛樂	c=1 d=0.0187793 t=31290
yu ming 	域名	c=17 d=1.51536 t=31290
yu ming bei an 	域名備案	c=1 d=0.000185956 t=31290
yu ming de 	域名的	c=1 d=0.105399 t=31290
yu nan 	遇難	c=0 d=0.0481909 t=31290
yu nan tong bao 	遇難同胞	c=1 d=0.484325 t=31290
yu qi 	預期	c=0 d=0.0355226 t=31290
yu qiao 	漁樵	c=0 d=0.00114473 t=31290
yu qiao geng du 	漁樵耕讀	c=1 d=0.0115047 t=31290
yu ren 	與人	c=1 d=0.304221 t=31290
yu ren jie 	愚人節	c=1 d=0.000133343 t=31290
yu ren jie wan xiao 	愚人節玩笑	c=1 d=1.99956e-05 t=31290
yu ren xiang chu 	與人相處	c=2 d=0.613206 t=31290
yu ren xie zuo 	與人協作	c=1 d=0.018968 t=31290
yu shi 	於是	c=1 d=0.0596059 t=31290
yu shi jian 	與實踐	c=1 d=2.26695e-11 t=31290
yu wo de 	與我的	c=1 d=0.71177 t=31290
yu xi 	玉溪	c=1 d=0.425283 t=31290
yu xian she ding 	預先設定	c=0 d=1.72608e-11 t=31290
yu xian she ding hao 	預先設定好	c=1 d=1.73473e-10 t=31290
yu yan 	語言	c=9 d=2.33517 t=31290
yu yan shu xi 	語言熟悉	c=1 d=0.292293 t=31290
yu yan shui ping 	語言水平	c=1 d=0.00358858 t=31290
yu yi 	予以	c=1 d=0.0581343 t=31290
yu yin 	語音	c=1 d=2.80838e-12 t=31290
yuan 	元	c=4 d=0.995342 t=31290
yuan 	原	c=5 d=1.20003 t=31290
yuan 	員	c=0 d=0.1 t=29713
yuan 	園	c=0 d=6.82328e-05 t=31290
yuan 	圓	c=1 d=0.194952 t=31290
yuan 	源	c=1 d=0.557084 t=31290
yuan 	袁	c=2 d=0.23643 t=31290
yuan 	遠	c=1 d=0.213312 t=31290
yuan bo ke 	原博客	c=1 d=2.06186e-13 t=31290
yuan ce lve 	原策略	c=1 d=1 t=29927
yuan cheng 	遠程	c=8 d=0.502975 t=31290
yuan cheng wang luo 	遠程網絡	c=1 d=0.0614212 t=31290
yuan dai ma 	源代碼	c=1 d=0.650509 t=31290
yuan di yu 	遠低於	c=1 d=0.282239 t=31290
yuan di zhi 	原地址	c=1 d=0.00548905 t=31290
yuan duan 	遠端	c=0 d=0.00599047 t=31290
yuan duan wang luo 	遠端網絡	c=1 d=0.060205 t=31290
yuan gong 	員工	c=1 d=0.181772 t=31290
yuan jie kou lu you 	源接口路由	c=1 d=1 t=29135
yuan ke yi 	元可以	c=1 d=0.0290133 t=31290
yuan lai 	原來	c=3 d=0.0985081 t=31290
yuan lai de 	原來的	c=0 d=0.0673707 t=31290
yuan lai de dian chi 	原來的電池	c=1 d=0.375311 t=31290
yuan lai de you xiang jiu bu yong 	原來的郵箱就不用	c=1 d=0.588605 t=31290
yuan lai ru ci 	原來如此	c=1 d=0.0500365 t=31290
yuan lai shi 	原來是	c=2 d=0.00564161 t=31290
yuan lai shi ge 	原來是個	c=1 d=0.000320701 t=31290
yuan lai shi ni a 	原來是你啊	c=1 d=0.0566989 t=31290
yuan le 	遠了	c=1 d=0.0236356 t=31290
yuan li 	原理	c=15 d=0.216566 t=31290
yuan li 	院裏	c=1 d=0.467666 t=31290
yuan lian jie 	原鏈接	c=1 d=0.650509 t=31290
yuan ling feng 	袁凌峯	c=2 d=0.619185 t=31290
yuan lu you 	源路由	c=2 d=1.83946 t=29168
yuan ma 	源碼	c=4 d=2.32962 t=31290
yuan sheng 	原生	c=2 d=0.286505 t=31290
yuan shi 	原始	c=3 d=0.0332068 t=31290
yuan shi xin hao 	原始信號	c=6 d=0.125939 t=31290
yuan su 	元素	c=5 d=0.612626 t=31290
yuan tao can 	原套餐	c=1 d=0.000269215 t=31290
yuan tong 	圓通	c=0 d=7.96726e-05 t=31290
yuan tong kuai di 	圓通快遞	c=1 d=0.000800719 t=31290
yuan tu 	原圖	c=1 d=0.891366 t=31290
yuan tu le ba 	原圖了吧	c=1 d=0.843665 t=31290
yuan wang ye 	原網頁	c=1 d=4.15207e-13 t=31290
yuan wen 	原文	c=3 d=0.663657 t=31290
yuan wen jian 	源文件	c=1 d=0.00242967 t=31290
yuan wen lian jie 	原文鏈接	c=2 d=1.65128 t=31290
yuan wen zhang 	原文章	c=2 d=0.159614 t=31290
yuan xin hao 	原信號	c=1 d=0.0105672 t=31290
yuan xing 	圓形	c=1 d=0.496585 t=31290
yuan yi 	願意	c=4 d=0.465708 t=31290
yuan yi xue xi 	願意學習	c=1 d=0.020141 t=31290
yuan yin 	原因	c=4 d=0.831104 t=31290
yuan yin ba 	原因吧	c=2 d=0.121604 t=31290
yuan you 	緣由	c=1 d=0.0317456 t=31290
yuan you de 	原有的	c=1 d=0.694197 t=31290
yuan yuan 	媛媛	c=0 d=0.0267135 t=31290
yuan yuan 	源源	c=1 d=0.882497 t=31290
yuan yuan 	遠遠	c=3 d=3.73436e-06 t=31290
yuan yuan da yu 	遠遠大於	c=1 d=2.09195e-07 t=31290
yuan yuan gao yu 	遠遠高於	c=2 d=0.00217658 t=31290
yuan ze 	原則	c=6 d=0.861405 t=31290
yuan zhan 	源站	c=1 d=0.239309 t=31290
yuan zhi kong 	緣之空	c=1 d=1 t=29448
yuan zhuang 	原裝	c=0 d=0.0120633 t=31290
yuan zhuang de 	原裝的	c=1 d=0.121238 t=31290
yuan zuo zhe 	原作者	c=0 d=0.0161218 t=31290
yue 	月	c=9 d=1.1375 t=31290
yue 	越	c=0 d=0.0615697 t=31290
yue da 	越大	c=1 d=0.199888 t=31290
yue du 	閱讀	c=10 d=3.58828 t=31290
yue du le 	閱讀了	c=1 d=0.308819 t=31290
yue du wen xian 	閱讀文獻	c=1 d=0.105928 t=31290
yue duo 	越多	c=1 d=0.384812 t=31290
yue fen 	月份	c=1 d=0.139457 t=31290
yue fu de 	月付的	c=1 d=0.477114 t=31290
yue fu le 	月付了	c=1 d=0.40657 t=31290
yue gao 	越高	c=3 d=0.240597 t=31290
yue ge 	約個	c=0 d=0.1 t=28391
yue jie jin yu 	越接近於	c=1 d=0.261099 t=31290
yue ka 	月卡	c=2 d=0.651636 t=31290
yue lai yue 	越來越	c=1 d=0.313489 t=31290
yue lai yue duo 	越來越多	c=2 d=9.50718e-15 t=31290
yue lai yue gao 	越來越高	c=0 d=5.25199e-14 t=31290
yue lai yue shu fu le 	越來越舒服了	c=1 d=0.0483156 t=31290
yue lai yue yan ge 	越來越嚴格	c=1 d=0.418952 t=31290
yue pao 	月拋	c=1 d=0.0372538 t=31290
yue shen 	越深	c=0 d=0.0301194 t=31290
yue shu 	約束	c=0 d=0.000120052 t=31290
yue shu yue duo 	越輸越多	c=1 d=0.618783 t=31290
yue wei 	約爲	c=1 d=6.3828e-13 t=31290
yue xiao 	越小	c=1 d=0.19398 t=31290
yun 	雲	c=3 d=0.962379 t=31290
yun cun chu 	雲存儲	c=1 d=0.018968 t=31290
yun dong 	運動	c=4 d=0.528913 t=31290
yun dong chang 	運動場	c=1 d=0.00364281 t=31290
yun dong fu 	運動服	c=1 d=0.000720907 t=31290
yun dong she shi 	運動設施	c=1 d=0.00369786 t=31290
yun ji suan 	雲計算	c=2 d=4.69581e-12 t=31290
yun jing 	雲景	c=1 d=0.00382958 t=31290
yun pan 	雲盤	c=3 d=0.947498 t=31290
yun qi 	運氣	c=2 d=0.353261 t=31290
yun shan fu 	雲閃付	c=1 d=0.000221519 t=31290
yun shang 	雲上	c=2 d=1.07724 t=31290
yun shang xing guang 	雲上星光	c=2 d=0.245367 t=31290
yun shang xing kong 	雲上星空	c=2 d=0.97531 t=31290
yun shi 	運勢	c=1 d=0.0178634 t=31290
yun shu ceng 	運輸層	c=4 d=0.838568 t=31290
yun suan 	運算	c=4 d=0.577573 t=31290
yun suan fu 	運算符	c=1 d=0.0837432 t=31290
yun suan fu za du 	運算複雜度	c=2 d=0.683861 t=31290
yun xing 	運行	c=6 d=1.42736 t=31290
yun xu 	允許	c=4 d=0.933518 t=31290
yun ying shang 	運營商	c=3 d=0.013856 t=31290
yun yong 	運用	c=2 d=0.0880368 t=31290
yun yong dao de 	運用到的	c=1 d=2.15639e-11 t=31290
za 	雜	c=0 d=0.000280879 t=31290
za ban 	咋辦	c=1 d=0.00250366 t=31290
za bi 	雜筆	c=1 d=0.985112 t=31290
za zhi dao 	咋知道	c=1 d=1.26861e-05 t=31290
zai 	仔	c=1 d=0.822835 t=31290
zai 	再	c=21 d=0.981688 t=31290
zai 	在	c=183 d=6.51573 t=31290
zai 	載	c=2 d=0.640824 t=31290
zai a 	在啊	c=1 d=0.0378169 t=31290
zai bang mang da ge zhao hu 	再幫忙打個招呼	c=1 d=0.463013 t=31290
zai bao cun 	再保存	c=1 d=0.364219 t=31290
zai bie 	在別	c=1 d=0.806541 t=31290
zai bo 	載波	c=1 d=0.0890305 t=31290
zai bo jian ting 	載波監聽	c=1 d=0.082085 t=31290
zai bu gai bian 	在不改變	c=1 d=1.39576e-11 t=31290
zai bu tong de 	在不同的	c=1 d=0.0468877 t=31290
zai chang shi 	再嘗試	c=1 d=0.472367 t=31290
zai chi fan 	在吃飯	c=1 d=0.697676 t=31290
zai ci 	再次	c=5 d=0.295692 t=31290
zai ci 	在此	c=2 d=0.13679 t=31290
zai ci chu xian 	再次出現	c=1 d=0.759572 t=31290
zai ci shan chu 	再次刪除	c=1 d=0.165299 t=31290
zai ci zhi qian 	在此之前	c=1 d=0.810584 t=31290
zai da 	再打	c=1 d=0.585669 t=31290
zai da hu lu 	在打呼嚕	c=1 d=0.472367 t=31290
zai deng deng 	再等等	c=2 d=0.127631 t=31290
zai deng deng ba 	在等等吧	c=1 d=0.20089 t=31290
zai deng ni 	在等你	c=1 d=0.105399 t=31290
zai dian 	再點	c=0 d=0.0384812 t=31290
zai dian ge 	再點個	c=1 d=0.386741 t=31290
zai dian tou 	在點頭	c=1 d=0.00128757 t=31290
zai ding yi 	在定義	c=1 d=1 t=30283
zai dong shou 	再動手	c=1 d=0.135335 t=31290
zai dui 	再對	c=1 d=0.000133021 t=31290
zai duo 	再多	c=1 d=0.177284 t=31290
zai duo lai ji ci 	再多來幾次	c=1 d=0.00308872 t=31290
zai fa 	再發	c=2 d=0.740826 t=31290
zai fa gei ta 	在發給他	c=1 d=0.729789 t=31290
zai fa she tian xian da dao 	在發射天線達到	c=1 d=0.00102302 t=31290
zai fa song gei 	再發送給	c=1 d=1.842e-10 t=31290
zai gai 	在該	c=1 d=0.0320647 t=31290
zai geng xin 	在更新	c=2 d=0.0311525 t=31290
zai gong si 	在公司	c=1 d=2.45451e-05 t=31290
zai guo 	再過	c=1 d=0.0391639 t=31290
zai han shu zuo yong yu 	在函數作用域	c=1 d=0.644036 t=31290
zai hang 	在行	c=0 d=0.0245367 t=31290
zai hao bu guo 	再好不過	c=1 d=0.70822 t=31290
zai he 	載荷	c=1 d=0.000511604 t=31290
zai he ni shuo 	再和你說	c=1 d=0.332871 t=31290
zai he zhong 	在何種	c=1 d=0.00211225 t=31290
zai jia li 	在家裏	c=1 d=0.56836 t=31290
zai jian 	再見	c=2 d=1.01076 t=31290
zai jiao 	在叫	c=1 d=0.726149 t=31290
zai jiao ben 	在腳本	c=1 d=0.000297529 t=31290
zai jie 	再接	c=1 d=0.0605068 t=31290
zai jie kou 	在接口	c=1 d=8.48182e-05 t=31290
zai jue ding 	再決定	c=1 d=0.494109 t=31290
zai kan 	再看	c=0 d=0.0395793 t=31290
zai kan le yi bian 	再看了一遍	c=1 d=0.313486 t=31290
zai kan yi hui er 	再看一會兒	c=1 d=0.308819 t=31290
zai kui 	在虧	c=1 d=1.67854e-05 t=31290
zai lai 	再來	c=0 d=0.000778933 t=31290
zai lai ge 	再來個	c=1 d=1.82901e-15 t=31290
zai lai yi bei 	再來一杯	c=1 d=0.00782838 t=31290
zai li mian 	在裏面	c=1 d=0.273898 t=31290
zai lu shang 	在路上	c=0 d=7.88798e-05 t=31290
zai lu you 	在路由	c=2 d=0.13208 t=31290
zai mang 	在忙	c=1 d=0.287475 t=31290
zai mu qian 	在目前	c=1 d=0.0049667 t=31290
